id,title,overview,genres,release_date,adult,vote_count,vote_average,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,overview_len,month,day,day_of_week
556160,This Is Our Christmas,a sequel to the popular movie  beverly hills christmas that was shown on up tv during christmas 2015 to more than 70 million viewers ,['Drama'],2018-11-08,False,4,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,133.0,11,8,Thu
556170,My Stepsister's Pantyhose,ooh  those hot legs slipping into pantyhose  there s nothing sexier than that  except maybe if those legs belong to your smokin  stepsister who is strictly forbidden territory  what would happen if she suddenly got super horny for her panting brother and let him come into her room and feel those hose for himself ,,2018-10-23,True,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.0,10,23,Tue
556173,Requiem for a Fighter,lucas a former danish army officer has traveled to derry  northern ireland to clear up details of his estranged son s death and finds that there was another side to his son s life and the people he was partied with  these include michael who has been fighting in unlicensed boxing matches to raise quick cash  trained by his father who doesn t know michael is questioning his sexuality  the fights have been building to a final fight against brian beru  undefeated king of the gypsy s and a wrecking machine  michael will need lucas help if he is to survive ,['Drama'],2018-11-12,False,7,7.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,558.0,11,12,Mon
535965,Sports!,when zach brings along his thirsty  nosey roommate  eduardo  to his basketball pick up game with his straight best friend   the outcome of the game takes an unexpected turn when zach has to confront which team he is really on ,,2018-06-22,False,1,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.0,6,22,Fri
535993,Stray Bullet,a powerful and painful quest for justice after the death of 12 year old genesis rincon  killed by a stray bullet in a gang shootout in paterson  a poor new jersey town close to new york city ,['Documentary'],2018-07-15,False,2,6.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,191.0,7,15,Sun
535994,Kinky,a talented  shy  single doctor balances work  religion  love and bdsm,['Romance'],2018-10-12,False,3,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,69.0,10,12,Fri
529644,Oversight,casey  jimmy julia   an orlando drug dealer s mistake leads to a violent confrontation with his supplier ,"['Crime', 'Drama', 'Action']",2018-05-10,False,1,10.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,105.0,5,10,Thu
529646,Solis,following an accident  an engineer of an asteroid mining company endures the extreme limits   both physical and psychological   of human survival  trapped inside an escape pod as he helplessly idles towards the sun ,"['Action', 'Adventure', 'Science Fiction']",2018-06-27,False,38,4.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,215.0,6,27,Wed
529649,The Row,a killer stalks and terrorizes a group of sorority girls on a college campus ,"['Thriller', 'Horror']",2018-07-27,False,15,4.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,77.0,7,27,Fri
518565,My Daddy is in Heaven,becca  adam and their 5 year old daughter acie are a perfect family until a tragic accident during a 4th of july celebration kills their father  struggling with grief  becky decides she needs to leave the family farm and all its memories  she leaves acie with her grandfather ben and visits with her friend from school  june  with all the best intent  june offers becky plenty of distraction from her family life  fueled by her anger at g d and loss of faith  becky starts drinking and making other self destructive choices  then  after becky is arrested  ben threatens to keep acie until becky is back on track  a chance encounter in a bus station with a traveler gives becky what she needs to restore her faith and reunite with her family ,['Drama'],2018-04-16,False,2,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,741.0,4,16,Mon
518577,XIII, xiii  follows an isolated young man named mark  who believes there is a mystery behind the disappearance of the number  13  on elevators  his only friend  billy tries to assist him  but finds himself surrounded  with the lonely friend  in bizarre dreams  visions  and memories ,"['Drama', 'Mystery', 'Thriller']",2018-04-25,False,1,5.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,278.0,4,25,Wed
539892,Freaks,a bold girl discovers a bizarre  threatening  and mysterious new world beyond her front door after she escapes her father s protective and paranoid control ,"['Science Fiction', 'Thriller']",2018-09-08,False,3,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,156.0,9,8,Sat
539935,Crow: The Legend,the carefree forest animals imagine spring will last forever  however  winter comes and the animals soon realize that their lives are in danger  what they need is a hero  what they need is crow  the legend ,['Animation'],2018-04-19,False,3,6.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.0,4,19,Thu
539960,Garage Sale Mysteries: The Pandora's Box Murders,the daughter in law of a prestigious family enlists jennifer s help with a mysterious puzzle box that her mother in law left behind ,"['Drama', 'Mystery', 'TV Movie']",2018-08-05,False,7,5.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,132.0,8,5,Sun
